Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
65,18,6.7e-05,4.3e-05,3.61111
278,18,0.000251,3.7e-05,15.4444
421048,18,5e-06,4.6e-05,0.0555556
289,18,0.000267,3e-05,16.0556
38,18,3.6e-05,4.8e-05,2.11111
106,18,0.000108,4.6e-05,5.88889
4,18,6e-06,4.7e-05,0.166667
47,18,5.1e-05,4.7e-05,2.61111
1,18,7e-06,4.7e-05,0.166667
134,18,0.000119,4.6e-05,7.44444
194,18,0.000182,4.8e-05,10.7778
373038,18,5e-06,4.8e-05,0.0555556
5,18,1.1e-05,4.4e-05,0.277778
891,18,0.000691,3e-05,49.5
99999,18,5e-06,3.9e-05,0.111111
516,18,0.000451,2.8e-05,28.6667
52,18,4.7e-05,2.9e-05,2.88889
1005,18,0.000552,3.4e-05,55.8333
10,18,7e-06,3.9e-05,0.166667
45,18,4.3e-05,2.8e-05,2.5
6,18,9e-06,4.1e-05,0.333333
245200,18,4e-06,4.7e-05,0.0555556
3020,18,0.001866,2.8e-05,167.778
281,18,0.000181,2.7e-05,15.6111
30,18,3.2e-05,3.3e-05,1.66667
255,18,0.000156,2.9e-05,14.1667
12,18,1.8e-05,3.7e-05,0.666667
8,18,5e-06,4e-05,0.111111
5,18,5e-06,3.9e-05,0.111111
5,18,9e-06,3.9e-05,0.277778
37,18,3.9e-05,2.8e-05,2.05556
11,18,1.4e-05,3.9e-05,0.611111
8,18,9e-06,4.2e-05,0.444444
6,18,1e-05,3.5e-05,0.333333
1,18,6e-06,3.6e-05,0.166667
119,18,0.000106,2.7e-05,6.61111
133712,18,5e-06,4e-05,0.0555556
16,18,2e-05,3.2e-05,0.888889
56,18,6.3e-05,3e-05,3.11111
1,18,7e-06,3.6e-05,0.166667
2740,18,0.002319,4.7e-05,152.222
1,18,6e-06,4.4e-05,0.166667
5,18,9e-06,4.8e-05,0.277778
8,18,1.3e-05,4.6e-05,0.444444
177883,18,5e-06,4.9e-05,0.0555556
578,18,0.000538,4.8e-05,32.1111
4,18,7e-06,4.5e-05,0.166667
8,18,1.2e-05,3.9e-05,0.444444
221,18,0.000181,3e-05,12.2778
70,18,6.9e-05,4.4e-05,3.88889
132102,18,4e-06,4.7e-05,0.0555556
99993,18,5e-06,4.3e-05,0.111111
16,18,2.1e-05,4.1e-05,0.888889
402092,18,5e-06,4.8e-05,0.0555556
7,18,1e-05,4.3e-05,0.388889
465,18,0.000421,3.7e-05,25.8333
1,18,7e-06,4.5e-05,0.166667
20,18,2.3e-05,4.9e-05,1.11111
89,18,9.4e-05,4.7e-05,4.94444
398253,18,3e-06,4.5e-05,0.0555556
10,18,1.5e-05,4.7e-05,0.555556
228790,18,4e-06,4.8e-05,0.0555556
244,18,0.000234,4.6e-05,13.5556
17,18,1.9e-05,4.6e-05,0.944444
48,18,6.3e-05,4.7e-05,2.66667
13,18,1.7e-05,4.7e-05,0.722222
211113,18,5e-06,5e-05,0.0555556
1,18,1.1e-05,4.9e-05,0.111111
6441,18,0.004942,5e-05,357.833
26,18,3e-05,4.8e-05,1.44444
21,18,2.5e-05,4.2e-05,1.16667
31,18,3.4e-05,4.3e-05,1.72222
332932,18,4e-06,4.8e-05,0.0555556
5,18,8e-06,4.7e-05,0.277778
64369,18,4e-06,4.6e-05,0.0555556
7,18,6e-06,4.5e-05,0.111111
846,18,0.000746,2.9e-05,47
6441,18,0.003846,3.1e-05,357.833
8041,18,0.004568,3.1e-05,446.722
1735,18,0.001235,4.7e-05,96.3889
366,18,0.000343,4.7e-05,20.3333
63,18,6.5e-05,4.7e-05,3.5
18,18,2.4e-05,4.5e-05,1
58,18,5.8e-05,4.7e-05,3.22222
324250,18,4e-06,4.8e-05,0.0555556
66,18,6.2e-05,3.9e-05,3.66667
55,18,5.4e-05,2.9e-05,3.05556
6441,18,0.004309,3.1e-05,357.833
160164,18,4e-06,4.1e-05,0.0555556
178,18,0.000111,2.8e-05,9.88889
162,18,9.3e-05,2.7e-05,9
9,18,8e-06,3e-05,0.5
215388,18,2e-06,2.9e-05,0.0555556
372817,18,3e-06,3e-05,0.0555556
82,18,5.6e-05,2.8e-05,4.55556
110,18,6.3e-05,2.7e-05,6.11111
309,18,0.000179,2.8e-05,17.1667
2865,18,0.001707,2.9e-05,159.167
160,18,0.000108,2.9e-05,8.88889
5057,18,0.00323,3.3e-05,280.944
1,18,7e-06,4.9e-05,0.222222
315823,18,4e-06,4.8e-05,0.0555556
297008,18,4e-06,4.7e-05,0.0555556
5,18,8e-06,4.8e-05,0.277778
226903,18,5e-06,4.4e-05,0.0555556
389,18,0.000259,3.2e-05,21.6111
6,18,1e-05,4.6e-05,0.333333
7940,18,0.005525,3.3e-05,441.111
12,18,1.5e-05,4.1e-05,0.666667
333,18,0.000206,2.7e-05,18.5
486,18,0.000289,2.8e-05,27
211,18,0.000138,2.8e-05,11.7222
345351,18,4e-06,4.2e-05,0.0555556
2870,18,0.0016,2.8e-05,159.444
542,18,0.000317,2.7e-05,30.1111
370742,18,5e-06,4.8e-05,0.0555556
242,18,0.000171,2.9e-05,13.4444
2,18,7e-06,4.7e-05,0.166667
324877,18,5e-06,4.6e-05,0.0555556
1727,18,0.001167,4.1e-05,95.9444
44,18,3.5e-05,2.7e-05,2.44444
1,18,4e-06,4.5e-05,0.111111
7,18,1e-05,4.6e-05,0.388889
7,18,7e-06,2.9e-05,0.388889
2551,18,0.002015,5.2e-05,141.722
40,18,4.4e-05,4.8e-05,2.22222
53,18,6.2e-05,4.5e-05,2.94444
285593,18,4e-06,4.8e-05,0.0555556
2,18,6e-06,5.4e-05,0.111111
559,18,0.000362,2.8e-05,31.0556
91816,18,2e-06,3e-05,0.0555556
9,18,6e-06,2.8e-05,0.5
15,18,1.2e-05,2.9e-05,0.833333
29,18,1.9e-05,3e-05,1.61111
19,18,1.9e-05,2.7e-05,1.05556
54,18,3.5e-05,2.8e-05,3
3276,18,0.001803,2.9e-05,182
18,18,1.5e-05,2.7e-05,1
110,18,6.4e-05,2.8e-05,6.11111
16,18,1.3e-05,2.9e-05,0.888889
36,18,2.4e-05,2.7e-05,2
412,18,0.000231,2.8e-05,22.8889
281040,18,3e-06,2.9e-05,0.0555556
7,18,4e-06,2.9e-05,0.111111
23,18,1.5e-05,2.9e-05,1.27778
42,18,2.7e-05,4.1e-05,2.33333
512,18,0.000489,4.7e-05,28.4444
35,18,3.7e-05,5.4e-05,1.94444
778,18,0.000749,4.5e-05,43.2222
38,18,4.2e-05,4.8e-05,2.11111
129,18,0.000124,4.7e-05,7.16667
211,18,0.000201,4.7e-05,11.7222
2967,18,0.002509,2.8e-05,164.833
